<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICP,D,20141216,000000,4.3948,4.3948,4.3948,4.3948,41,0
ICP,D,20141217,000000,4.385,4.385,4.385,4.385,10,0
ICP,D,20141218,000000,4.385,4.385,4.385,4.385,3,0
ICP,D,20141219,000000,4.385,4.385,4.385,4.385,3,0
ICP,D,20141222,000000,4.385,4.385,4.385,4.385,3,0
ICP,D,20141223,000000,4.385,4.385,4.385,4.385,3,0
ICP,D,20141229,000000,4.385,4.385,4.385,4.385,10,0
ICP,D,20141230,000000,4.385,4.385,4.385,4.385,10,0
ICP,D,20150105,000000,4.3753,4.3753,4.3753,4.3753,10,0
ICP,D,20150107,000000,4.3753,4.3753,4.3753,4.3753,5,0
ICP,D,20150108,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150109,000000,4.3753,4.3753,4.3753,4.3753,5,0
ICP,D,20150112,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150113,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150114,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150115,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150116,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150119,000000,4.3753,4.3753,4.3557,4.3557,13,0
ICP,D,20150120,000000,4.3753,4.3753,4.3753,4.3753,5,0
ICP,D,20150121,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150122,000000,4.3753,4.3753,4.3753,4.3753,10,0
ICP,D,20150123,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150126,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150127,000000,4.3753,4.3753,4.346,4.346,70,0
ICP,D,20150204,000000,4.2971,4.2971,4.2971,4.2971,3,0
ICP,D,20150206,000000,4.3753,4.3753,4.3753,4.3753,1,0
ICP,D,20150209,000000,4.3753,4.3753,4.3753,4.3753,3,0
ICP,D,20150210,000000,4.2971,4.2971,4.2971,4.2971,3,0
ICP,D,20150216,000000,4.2971,4.2971,4.2971,4.2971,3,0
ICP,D,20150227,000000,4.2288,4.2288,4.2288,4.2288,10,0
ICP,D,20150302,000000,4.053,4.053,4.053,4.053,182,0
ICP,D,20150629,000000,3.9065,3.9065,3.7112,3.7112,195,0
ICP,D,20150703,000000,4.053,4.4436,3.9358,4.4436,353,0
ICP,D,20150707,000000,4.4632,4.4632,4.4632,4.4632,46,0
ICP,D,20150715,000000,4.639,4.6683,4.639,4.6683,46,0
ICP,D,20150728,000000,3.7893,3.7893,3.7893,3.7893,102,0
ICP,D,20150916,000000,4.0042,4.0042,4.0042,4.0042,128,0
ICP,D,20151016,000000,4.053,4.053,4.053,4.053,20,0
ICP,D,20151022,000000,3.9065,3.9065,3.9065,3.9065,31,0
ICP,D,20151228,000000,3.8577,3.8577,3.8577,3.8577,31,0
ICP,D,20160622,000000,3.9065,3.9065,3.76,3.76,29,0
